epoch,train_loss,train_bce_loss,train_dice_loss,val_loss,val_bce_loss,val_dice_loss,val_dice,val_iou,val_precision,val_recall,val_pixel_accuracy
1,0.9339950263500214,0.35332274734973906,0.580672277212143,0.7744205456513625,0.2719041636356941,0.5025163843081548,0.7695502314444604,0.6521110488714623,0.7323722417343744,0.8719140386594809,0.9353357204794883
2,0.72165576338768,0.24092678844928742,0.4807289731502533,0.6122939036442683,0.20025272782032305,0.4120411735314589,0.7866010163032976,0.6748517807428785,0.7580558807690345,0.87078993391137,0.9414167115092278
3,0.5940668940544128,0.19573451489210128,0.39833237886428835,0.5421615105408889,0.17758918610902932,0.36457232328561634,0.7876915854307319,0.6829810493467104,0.8168720575143628,0.8218121483961854,0.9458981370925903
4,0.49926863551139833,0.1651902313530445,0.33407840490341184,0.44938979011315566,0.15202853370171326,0.2973612558383208,0.7951367604751738,0.6910706893373879,0.8489095976217417,0.807892501505375,0.9488616070151329
5,0.44541484892368316,0.15325150921940803,0.29216334015130996,0.4149892009221591,0.1418782421029531,0.2731109570998412,0.8068691974897501,0.7058070368338939,0.8909086757153273,0.7868570162747618,0.9516803869605064
6,0.4065311574935913,0.1452720956504345,0.26125906050205233,0.389120129438547,0.14301283600238654,0.2461072917167957,0.8041654185971622,0.7026485944560175,0.8796972512504815,0.7879952425531149,0.9511351028084755
7,0.40035267174243927,0.14845048695802687,0.25190218418836596,0.4187668149287884,0.15798950080688184,0.2607773118294202,0.7792089129639347,0.6751670591560681,0.906602825820446,0.742742922867604,0.9473537139594554
8,0.3603997176885605,0.1358523240685463,0.22454739451408387,0.36532337619708133,0.13773488711852294,0.22758848850543684,0.8144008802817612,0.7142490557403712,0.8132422320920442,0.862255997919885,0.9499862471222877
9,0.34845549941062925,0.13218640111386776,0.2162690970301628,0.3582784991997939,0.1436254674425492,0.21465303462285262,0.8118843508905769,0.7145226423463822,0.8756763559579849,0.8077690662092567,0.9522478887438774
10,0.3406535017490387,0.12953041553497313,0.21112308621406556,0.37771433133345383,0.1435025489101043,0.23421178070398477,0.8108985517191879,0.7123455920460812,0.8672529295106624,0.810779110716712,0.9517095831036567
11,0.33052236557006837,0.12493932865560055,0.20558303564786912,0.34223723870057327,0.13831316851652586,0.20392407476902008,0.8226157537866874,0.726446204336409,0.850428211826001,0.8427784671653624,0.9544490385055542
12,0.310801759660244,0.11984576225280762,0.1909559965133667,0.33792724976172817,0.13769777864217758,0.20022947169267213,0.8265927119568462,0.7327073195219512,0.8503020555901567,0.8493308610488292,0.9554490193724632
13,0.30953788697719575,0.12108035333454609,0.1884575343132019,0.3453293053003458,0.14266739499110442,0.20266191088236296,0.8224073017407771,0.7259535548110123,0.8547425815835595,0.8442053882424351,0.9542577141523361
14,0.28658700406551363,0.11189482748508453,0.17469217777252197,0.3584822714328766,0.1537503061386255,0.20473197102546692,0.8209982825088901,0.7243518646824759,0.8780025978428069,0.8149071488548633,0.953157685995102
15,0.292638977766037,0.11211361929774284,0.18052535772323608,0.33196577429771423,0.13436383811327127,0.19760193503819978,0.8294880169646254,0.7355652265266887,0.8693777687108027,0.8366562303919908,0.9559092965722084
16,0.2792388504743576,0.1089554899185896,0.17028336033225058,0.3439584534901839,0.14989140457831895,0.19406704719250017,0.8212216683497852,0.7271612118950312,0.8982045767121644,0.800292638095379,0.9552197271585464
17,0.26811872273683546,0.10498228266835213,0.16313643962144853,0.32151491940021515,0.13014046675883806,0.19137445436074182,0.8313797863958753,0.7372584341107286,0.8608813098073006,0.8511695974333562,0.9559779572486877
18,0.2550649356842041,0.09892666667699813,0.15613826841115952,0.33250295657377976,0.14948336952007735,0.18301958533433768,0.8312862844784302,0.7394682060014947,0.8806321168400407,0.8303911767360386,0.9572165966033935
19,0.2457493481040001,0.0966831911355257,0.14906615823507308,0.35562567527477557,0.1581521240564493,0.19747355236456945,0.8214535357816257,0.7260429817823806,0.8513158318041474,0.8354936172087308,0.9526851484179497
20,0.2436862587928772,0.0953883669525385,0.14829789221286774,0.3396616280078888,0.14760915419230095,0.19205247094997993,0.8234022364038017,0.72769968230454,0.8833795610086568,0.8127643350530979,0.9546277114748954
21,0.2418600383400917,0.09566443488001823,0.1461956039071083,0.3377981873658987,0.1498446103471976,0.18795357644557953,0.8256789878772599,0.7311226901801331,0.862254844383229,0.8387218063716407,0.9540484485030174
22,0.24360911607742308,0.09702573850750923,0.14658337727189064,0.3419615740959461,0.1537499072460028,0.18821166799618647,0.8268463796392352,0.7340760063953966,0.8233701801118076,0.8791931065191146,0.9539196026325226
23,0.23066906571388246,0.09172837555408478,0.13894068852066993,0.32630751912410444,0.14765436947345734,0.1786531530893766,0.8373787870277282,0.7465767681617852,0.8834789245575666,0.8403614116479274,0.957424964606762
24,0.22882292658090592,0.09019264541566371,0.13863028228282928,0.3564545489274539,0.16911695037896818,0.18733760370657995,0.8238645263594206,0.7319161966601949,0.9025433597713709,0.8048134830892648,0.9555937105417251
25,0.22068607777357102,0.08757347464561463,0.13311260357499122,0.3297209166563474,0.1465419358932055,0.18317898420187143,0.8348420976121541,0.7450474420954104,0.8948374957963824,0.8251984343696948,0.9577630722522735
26,0.24135651856660842,0.0960624022781849,0.1452941170334816,0.3375131762944735,0.1606804785820154,0.17683269541997176,0.8331645058112644,0.7430874075757765,0.8797344565903361,0.8299908326212879,0.9576698029041291
27,0.21667241245508195,0.08643286466598511,0.1302395486831665,0.3406272645180042,0.1607537378485386,0.17987352495010084,0.8335170003043624,0.7429486782120677,0.8590649519873972,0.8544789854456302,0.9560735213756562
28,0.21595090359449387,0.08462236523628235,0.1313285382091999,0.3183764161971899,0.14595836572922194,0.1724180498948464,0.8409862447546579,0.7509208805503107,0.869268977423636,0.8523009347934838,0.9579574903845787
29,0.21318194299936294,0.08527138046920299,0.12791056245565413,0.3224501529565224,0.14281414506527093,0.17963601075685942,0.8339926842619296,0.7449585266430493,0.8963313819095492,0.8266535719130751,0.9580044242739677
30,0.2042350396513939,0.08010706134140491,0.12412797898054123,0.3195512340619014,0.1416906978075321,0.17786053510812613,0.8360093773917022,0.7423356500283542,0.8255113532537408,0.8864398749191876,0.956163702905178
